species_binom,Unique_ID,dataset_id,family,genus,woodiness,reclass_life_history,putative_BNF,myc_type,lat_deg,long_deg,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,LATLONG
Salsola_australis,703,Dong_2017,Chenopodiaceae,Salsola,herbaceous,short,0,NM-AM,-25.755,136.545,15.16623165,NA,453.2479609,NA,29.88533812,NA,-25.755136.545
Tephrosia_remotiflora,1963,Schmidt_2003,Fabaceae,Tephrosia,herbaceous,short,1,AM,-12.65,132.9166667,23.3,NA,NA,NA,NA,NA,-12.65132.9166667
Indigofera_hirsuta,1947,Schmidt_2003,Fabaceae,Indigofera,herbaceous,short,1,AM,-12.65,132.9166667,34.9,NA,NA,NA,NA,NA,-12.65132.9166667
Cyperus_aquatilis,968,Schmidt_2003,Cyperaceae,Cyperus,herbaceous,short,0,NM-AM,-12.65,132.9166667,25,NA,NA,NA,NA,NA,-12.65132.9166667
Paspalidium_clementii,6372,Islam_1999_2,Poaceae,Paspalidium,herbaceous,short,0,NM-AM,-22.33,117.6166667,5.2,1.1,NA,4.727272727,NA,NA,-22.33117.6166667
Iseilema_membranaceum,6373,Islam_1999_2,Poaceae,Iseilema,herbaceous,short,0,AM,-22.33,117.6166667,5.1,0.8,NA,6.375,NA,NA,-22.33117.6166667
Alysicarpus_schomburgkii,1910,Schmidt_2003,Fabaceae,Alysicarpus,herbaceous,short,1,AM,-12.65,132.9166667,26,NA,424.8,NA,16.33846154,NA,-12.65132.9166667
Alysicarpus_vaginalis,1912,Schmidt_2003,Fabaceae,Alysicarpus,herbaceous,short,1,AM,-12.65,132.9166667,25,NA,437.1,NA,17.484,NA,-12.65132.9166667
Bidens_bipinnata,461,Schmidt_2003,Asteraceae,Bidens,herbaceous,short,0,AM,-12.65,132.9166667,40,NA,446.6,NA,11.165,NA,-12.65132.9166667
Luffa_aegyptiaca,806,Schmidt_2003,Cucurbitaceae,Luffa,herbaceous,short,0,AM,-12.65,132.9166667,36,NA,472,NA,13.11111111,NA,-12.65132.9166667
Tephrosia_remotiflora,1964,Schmidt_2003,Fabaceae,Tephrosia,herbaceous,short,1,AM,-12.65,132.9166667,23,NA,485,NA,21.08695652,NA,-12.65132.9166667
Tephrosia_remotiflora,1965,Schmidt_2003,Fabaceae,Tephrosia,herbaceous,short,1,AM,-12.65,132.9166667,22,NA,475.9,NA,21.63181818,NA,-12.65132.9166667
Trianthema_portulacastrum,4,Schmidt_2003,Aizoaceae,Trianthema,herbaceous,short,0,NM-AM,-12.65,132.9166667,12,NA,416.7,NA,34.725,NA,-12.65132.9166667
Indigofera_hirsuta,1948,Schmidt_2003,Fabaceae,Indigofera,herbaceous,short,1,AM,-12.65,132.9166667,35,NA,461.6,NA,13.18857143,NA,-12.65132.9166667
Schizachyrium_fragile,6385,Schmidt_2003,Poaceae,Schizachyrium,herbaceous,short,0,AM,-12.65,132.9166667,6,NA,441,NA,73.5,NA,-12.65132.9166667
Schizachyrium_fragile,6386,Schmidt_2003,Poaceae,Schizachyrium,herbaceous,short,0,AM,-12.65,132.9166667,6,NA,447.3,NA,74.55,NA,-12.65132.9166667
Schizachyrium_fragile,6384,Schmidt_2003,Poaceae,Schizachyrium,herbaceous,short,0,AM,-12.65,132.9166667,5,NA,412.8,NA,82.56,NA,-12.65132.9166667
Aristida_holathera,6430,Schmidt_2010,Poaceae,Aristida,herbaceous,short,0,AM,-23.87,146.12,9.47,0.877486078,412.504,10.79219402,43.55902851,470.0974868,-23.87146.12
Aristida_holathera,6432,Schmidt_2010,Poaceae,Aristida,herbaceous,short,0,AM,-23.87,146.12,8.087,0.392651888,415.045,20.59585154,51.32249289,1057.030444,-23.87146.12
Aristida_holathera,6397,Schmidt_2010,Poaceae,Aristida,herbaceous,short,0,AM,-23.51,146.52,4.399,0.498369148,418.858,8.826790376,95.21664015,840.4573228,-23.51146.52
Aristida_holathera,6399,Schmidt_2010,Poaceae,Aristida,herbaceous,short,0,AM,-23.51,146.52,4.444,0.553479636,423.448,8.029202358,95.28532853,765.0651845,-23.51146.52
Aristida_holathera,6302,Dong_2017,Poaceae,Aristida,herbaceous,short,0,AM,-22.29,133.616,16.25,NA,416.43,NA,25.62646154,NA,-22.29133.616
Actinotus_helianthi,71,Gallagher_2018,Apiaceae,Actinotus,herbaceous,short,0,AM,-33.57912,150.36555,7.33,0.161,NA,45.52795031,NA,NA,-33.57912150.36555
Indigofera_linifolia,1949,Schmidt_2003,Fabaceae,Indigofera,herbaceous,short,1,AM,-12.65,132.9166667,34,NA,NA,NA,NA,NA,-12.65132.9166667
Cullen_cinereum,1733,Islam_1999_2,Fabaceae,Cullen,herbaceous,short,1,AM,-22.33,117.6166667,17.9,2.2,NA,8.136363636,NA,NA,-22.33117.6166667
Cullen_cinereum,1734,Islam_1999_2,Fabaceae,Cullen,herbaceous,short,1,AM,-22.33,117.6166667,19.5,1.6,NA,12.1875,NA,NA,-22.33117.6166667
Aristida_holathera,6398,Schmidt_2010,Poaceae,Aristida,herbaceous,short,0,AM,-23.51,146.52,10.32,0.572962666,421.592,18.01164477,40.85193798,735.8105952,-23.51146.52
Aristida_holathera,6431,Schmidt_2010,Poaceae,Aristida,herbaceous,short,0,AM,-23.87,146.12,6.315,0.371471173,401.439,16.99997324,63.56912114,1080.673358,-23.87146.12
Aristida_holathera,6429,Schmidt_2010,Poaceae,Aristida,herbaceous,short,0,AM,-23.87,146.12,6.403,0.42351416,408.02,15.11873887,63.72325472,963.4152483,-23.87146.12
Aristida_holathera,6396,Schmidt_2010,Poaceae,Aristida,herbaceous,short,0,AM,-23.51,146.52,5.421,0.632118451,414.161,8.575924325,76.39937281,655.1952397,-23.51146.52
Indigofera_linifolia,1950,Schmidt_2003,Fabaceae,Indigofera,herbaceous,short,1,AM,-12.65,132.9166667,34,NA,430.6,NA,12.66470588,NA,-12.65132.9166667
Portulaca_bicolor,6528,Schmidt_2003,Portulacaceae,Portulaca,herbaceous,short,0,NM-AM,-12.65,132.9166667,14,NA,412,NA,29.42857143,NA,-12.65132.9166667
Rumex_acetosella,6513,Firn_2019,Polygonaceae,Rumex,herbaceous,short,0,NM-AM,-36.874,147.254,28.85179263,3.49991947,474.814389,8.243558995,16.45701517,135.6643754,-36.874147.254
Rumex_acetosella,6516,Firn_2019,Polygonaceae,Rumex,herbaceous,short,0,NM-AM,-36.874,147.254,24.80695147,2.14263078,493.5755713,11.57780039,19.89666372,230.3596009,-36.874147.254
Rumex_acetosella,6511,Firn_2019,Polygonaceae,Rumex,herbaceous,short,0,NM-AM,-36.874,147.254,21.75919063,4.0187394,459.8072121,5.414431856,21.13163214,114.4157822,-36.874147.254
Eriachne_avenacea,6376,Schmidt_2003,Poaceae,Eriachne,herbaceous,short,0,AM,-12.65,132.9166667,10,NA,460.55,NA,46.055,NA,-12.65132.9166667
Rumex_acetosella,6518,Firn_2019,Polygonaceae,Rumex,herbaceous,short,0,NM-AM,-36.874,147.254,32.8388637,NA,445.6040714,NA,13.56941201,NA,-36.874147.254
Rumex_acetosella,6514,Firn_2019,Polygonaceae,Rumex,herbaceous,short,0,NM-AM,-36.874,147.254,32.13055952,3.4508676,471.4277861,9.310864178,14.67225573,136.6113803,-36.874147.254
Rumex_acetosella,6512,Firn_2019,Polygonaceae,Rumex,herbaceous,short,0,NM-AM,-36.874,147.254,24.27676345,3.45987439,481.2564399,7.01666035,19.82374796,139.0965063,-36.874147.254
Streptoglossa_cylindriceps,387,Dong_2017,Asteraceae,Streptoglossa,herbaceous,short,0,AM,-26.278,134.999,21.59970238,NA,NA,NA,4.637740268,NA,-26.278134.999
Eriachne_avenacea,6377,Schmidt_2003,Poaceae,Eriachne,herbaceous,short,0,AM,-12.65,132.9166667,6,NA,461,NA,76.83333333,NA,-12.65132.9166667
Lomandra_micrantha,329,Dong_2017,Asparagaceae,Lomandra,herbaceous,short,0,NM-AM,-34.881,138.708,6.8159292,NA,440.0341593,NA,64.55967285,NA,-34.881138.708
Lomandra_micrantha,332,Dong_2017,Asparagaceae,Lomandra,herbaceous,short,0,NM-AM,-34.933,138.727,3.83205575,NA,356.9033101,NA,93.13625202,NA,-34.933138.727
Parsonsia_brownii,205,Smith_1996,Apocynaceae,Parsonsia,herbaceous,long,0,AM,-30.5,152.4166667,25.415,1.587,NA,16.01449275,NA,NA,-30.5152.4166667
Petermannia_cirrosa,6152,Smith_1996,Petermanniaceae,Petermannia,herbaceous,long,0,AM,-30.5,152.4166667,11.321,0.736,NA,15.38179348,NA,NA,-30.5152.4166667
Dioscorea_transversa,1045,Smith_1996,Dioscoreaceae,Dioscorea,herbaceous,long,0,AM,-32.1166667,151.4166667,30.644,2.27,NA,13.49955947,NA,NA,-32.1166667151.4166667
Asplenium_flaccidum,356,Smith_1996,Aspleniaceae,Asplenium,herbaceous,long,0,NM-AM,-41.15,144.9833333,12.843,1.201,NA,10.69358868,NA,NA,-41.15144.9833333
Blechnum_wattsii,556,Smith_1996,Blechnaceae,Blechnum,herbaceous,long,0,AM,-41.15,144.9833333,10.514,0.666,NA,15.78678679,NA,NA,-41.15144.9833333
Blechnum_wattsii,557,Smith_1996,Blechnaceae,Blechnum,herbaceous,long,0,AM,-30.5,152.4166667,10.941,0.689,NA,15.87953556,NA,NA,-30.5152.4166667
Blechnum_wattsii,558,Smith_1996,Blechnaceae,Blechnum,herbaceous,long,0,AM,-41.3333333,147.75,12.852,0.458,NA,28.06113537,NA,NA,-41.3333333147.75
Blechnum_wattsii,559,Smith_1996,Blechnaceae,Blechnum,herbaceous,long,0,AM,-42.9166667,146.4333333,13.038,0.707,NA,18.44130127,NA,NA,-42.9166667146.4333333
Dennstaedtia_davallioides,980,Smith_1996,Dennstaedtiaceae,Dennstaedtia,herbaceous,long,0,AM,-32.1166667,151.4166667,31.508,2.718,NA,11.59234731,NA,NA,-32.1166667151.4166667
Diplazium_australe,7849,Smith_1996,Woodsiaceae,Diplazium,herbaceous,long,0,AM,-30.5,152.4166667,21.952,2.594,NA,8.462606014,NA,NA,-30.5152.4166667
Diplazium_australe,7850,Smith_1996,Woodsiaceae,Diplazium,herbaceous,long,0,AM,-32.1166667,151.4166667,34.961,2.33,NA,15.00472103,NA,NA,-32.1166667151.4166667
Histiopteris_incisa,978,Smith_1996,Dennstaedtiaceae,Histiopteris,herbaceous,long,0,AM,-41.15,144.9833333,21.631,1.008,NA,21.4593254,NA,NA,-41.15144.9833333
